Season,Name,Team,Spd,GB/FB,LD%,GB%,FB%,IFFB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,maxEV,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,wOBA,K%,BB%,NameASCII,PlayerId,MLBAMID
2015,Will Venable,- - -,6.344167452,2.796296296,0.18,0.604,0.216,0.148148148,0.3346,0.3735,0.2918,0.2529,0.463,0.284,86.99204827,3.900863525,0.0233,115.198,0.3307,0.3032,0.637,0.4483,0.6183,0.87,0.7737,0.4346,0.6179,0.1006,0.1831,0.2838,0.295549599,0.241025641,0.094871794,Will Venable,211,461416
2015,Victor Martinez,DET,0.88504464,1.039215686,0.210126582,0.402531645,0.387341772,0.071895424,0.4127,0.3595,0.2278,0.1772,0.5165,0.3063,87.66658299,15.03251903,0.0304,108.86,0.3316,0.3358,0.6779,0.4814,0.8154,0.9134,0.8742,0.4256,0.5794,0.0597,0.1629,0.2226,0.286145366,0.107216494,0.063917525,Victor Martinez,393,400121
2015,Juan Uribe,- - -,2.364434102,1.235294117,0.188612099,0.448398576,0.362989323,0.12745098,0.3238,0.4128,0.2633,0.2384,0.4804,0.2811,88.7716666,10.74747124,0.0569,110.468,0.3523,0.3266,0.7952,0.5181,0.6348,0.8641,0.7786,0.4087,0.5919,0.1138,0.1053,0.2191,0.319412397,0.201511335,0.085642317,Juan Uribe,454,346874
2015,Carlos Beltrán,NYY,1.521021696,0.830409356,0.215538847,0.355889724,0.428571428,0.076023391,0.4436,0.3559,0.2005,0.1328,0.5338,0.3333,90.61023418,15.6113044,0.0426,112.814,0.4185,0.294,0.6689,0.4561,0.7064,0.9128,0.8372,0.4323,0.5725,0.0739,0.1788,0.2528,0.346356604,0.160075329,0.084745762,Carlos Beltran,589,136860
2015,Adrián Beltré,TEX,3.59111666,1.164835164,0.22745098,0.415686274,0.356862745,0.082417582,0.3882,0.3863,0.2255,0.1431,0.5196,0.3373,89.47999691,12.61101002,0.049,109.781,0.402,0.3591,0.6431,0.4844,0.7544,0.9039,0.842,0.4413,0.6187,0.076,0.1766,0.2526,0.337121854,0.105008077,0.066235864,Adrian Beltre,639,134181
2015,Torii Hunter,MIN,2.290371479,1.412587412,0.17266187,0.48441247,0.342925659,0.097902097,0.4086,0.3587,0.2328,0.1805,0.5297,0.2898,88.4762117,10.80626256,0.0475,108.083,0.3468,0.3669,0.7365,0.5338,0.6897,0.8485,0.7887,0.4518,0.6402,0.1126,0.1327,0.2453,0.3040327,0.185185185,0.061728395,Torii Hunter,731,116338
2015,David Ortiz,BOS,0.892392543,0.895027624,0.2239819,0.366515837,0.409502262,0.066298342,0.4434,0.3439,0.2127,0.1176,0.4638,0.4186,93.03555046,15.56298156,0.1244,113.604,0.4932,0.2832,0.7189,0.4558,0.6563,0.8543,0.78,0.3962,0.5212,0.0981,0.1367,0.2347,0.378683653,0.154723127,0.125407166,David Ortiz,745,120074
2015,A.J. Pierzynski,ATL,1.736381708,1.626168224,0.246648793,0.466487935,0.28686327,0.121495327,0.4236,0.3351,0.2413,0.2011,0.5389,0.2601,85.40000213,10.58340629,0.0295,109.962,0.2547,0.4028,0.7569,0.5445,0.8057,0.9203,0.8695,0.4003,0.5619,0.0708,0.1079,0.1787,0.333059945,0.084862385,0.043577981,A.J. Pierzynski,746,150229
2015,Todd Frazier,CIN,3.694344658,0.693965517,0.191358024,0.33127572,0.477366255,0.168103448,0.4612,0.3286,0.2102,0.1837,0.4429,0.3735,89.571517,18.75961506,0.0816,111.688,0.3857,0.3669,0.7609,0.5296,0.6382,0.8516,0.7648,0.4128,0.6032,0.124,0.1177,0.2417,0.342242584,0.202064896,0.064896755,Todd Frazier,785,453943
2015,Brandon Phillips,CIN,5.354043137,1.481012658,0.249042145,0.448275862,0.302681992,0.101265822,0.3492,0.3359,0.3149,0.1756,0.5802,0.2443,86.19288846,10.61707556,0.0191,108.155,0.2595,0.3777,0.7448,0.5421,0.6807,0.9154,0.8251,0.4477,0.6228,0.0946,0.1361,0.2306,0.315437604,0.109149277,0.043338683,Brandon Phillips,791,408252
2015,Marlon Byrd,- - -,3.935331291,1.165413533,0.213114754,0.423497267,0.363387978,0.045112781,0.4098,0.3087,0.2814,0.1694,0.5246,0.306,86.30899504,12.21070371,0.0792,108.792,0.3115,0.4395,0.8323,0.6049,0.5529,0.8304,0.7137,0.421,0.704,0.1723,0.093,0.2653,0.316818969,0.266544117,0.053308823,Marlon Byrd,950,407781
2015,Jimmy Rollins,LAD,5.087109595,0.89944134,0.19047619,0.383333333,0.426190476,0.111731843,0.5081,0.2771,0.2148,0.1755,0.5727,0.2517,85.79268293,16.39317121,0.0254,115.545,0.2309,0.2561,0.6742,0.4468,0.6858,0.9021,0.8347,0.4563,0.5631,0.0738,0.1635,0.2373,0.282821135,0.152753108,0.078152753,Jimmy Rollins,971,276519
2015,Aramis Ramirez,- - -,2.024257637,0.882022471,0.186893203,0.381067961,0.432038834,0.084269662,0.4029,0.3519,0.2451,0.1845,0.5073,0.3083,87.36938416,15.78525933,0.0461,108.567,0.3422,0.3662,0.7475,0.533,0.7305,0.8998,0.8344,0.4375,0.655,0.0876,0.1311,0.2187,0.308707132,0.131782945,0.060077519,Aramis Ramirez,1002,133380
2015,Ichiro Suzuki,MIA,6.133928475,2.518518518,0.183381088,0.58452722,0.23209169,0.074074074,0.2809,0.3792,0.3399,0.2612,0.6039,0.1348,83.29333107,3.219391135,0.0056,106.944,0.1376,0.271,0.6115,0.4303,0.8426,0.9485,0.913,0.4678,0.5845,0.0373,0.2017,0.239,0.250236222,0.116438356,0.070776255,Ichiro Suzuki,1101,400085
2015,Albert Pujols,LAA,2.678742642,0.991111111,0.159474671,0.418386491,0.422138836,0.097777777,0.4578,0.349,0.1932,0.1576,0.5122,0.3302,90.74436096,14.22135759,0.0713,114.039,0.3827,0.3122,0.6494,0.462,0.7366,0.9271,0.8555,0.4442,0.5598,0.0656,0.1786,0.2442,0.333182921,0.108925869,0.075642965,Albert Pujols,1177,405395
2015,Alex Rodriguez,NYY,3.318735762,1.114093959,0.181818181,0.431168831,0.387012987,0.073825503,0.4571,0.3688,0.174,0.1221,0.5221,0.3558,91.33429115,12.15649158,0.1065,116.542,0.4338,0.2678,0.6764,0.4415,0.5875,0.765,0.7031,0.425,0.6032,0.1302,0.1546,0.2849,0.361004647,0.233870967,0.13548387,Alex Rodriguez,1274,121347
2015,Mark Teixeira,NYY,2.051207527,0.916666666,0.189102564,0.387820512,0.423076923,0.09090909,0.5545,0.2885,0.1571,0.1667,0.4808,0.3526,89.61842105,15.5501966,0.0865,111.189,0.4135,0.2471,0.6796,0.4333,0.6429,0.874,0.799,0.4305,0.6017,0.0865,0.1603,0.2468,0.381079205,0.183982683,0.127705627,Mark Teixeira,1281,407893
