,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0031652450561523438,0.005522938269640976,0.0010270118713378907,0.0015922041310025446,1,True,0.001,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.001}",-1191.5252546599863,-728.0585042108263,-576.4641412404825,-564.7279773602174,-259.2130406186823,-663.9977836180391,304.55092505989285,25
1,0.0008293628692626953,0.0011755672132035752,0.0002652645111083984,0.0005305290222167968,1,True,0.01,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.01}",-1170.8785432947543,-727.5621292091951,-575.0420237060946,-564.6220442802938,-258.9141101446606,-659.4037701269997,297.5716562665935,22
2,0.001851034164428711,0.0025595963721275,0.0,0.0,1,True,0.1,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.1}",-1006.8129660552731,-722.8361819693729,-561.826758967563,-563.4507427575289,-256.0557313390059,-622.1964762177488,244.62739161824018,17
3,0.0009255409240722656,0.0011943057597909076,0.0,0.0,1,True,0.25,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.25}",-839.2447400855217,-715.8044698099264,-543.2438841235205,-561.114923219266,-251.76942393966934,-582.2354882355809,197.51894667820795,13
4,0.0033465862274169923,0.0036623749462829937,0.0004916191101074219,0.0009832382202148438,1,True,1.0,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 1.0}",-564.1138317078664,-690.9977926923777,-487.4475436457175,-545.599045666797,-236.58383358965168,-504.94840946048197,149.72856794964366,11
5,0.0015023231506347656,0.0013217270908524763,0.0,0.0,1,True,2.5,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 2.5}",-457.582131010853,-665.1430635896324,-442.262677548155,-511.8738214320729,-221.59539666210782,-459.6914180485642,142.78046600688057,9
6,0.0019049644470214844,0.002451659071993669,0.0004162311553955078,0.0008018274002533029,1,True,5,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 5}",-421.0102720372338,-645.2573962438876,-411.45565531795046,-467.5556344588327,-212.42942332921604,-431.5416762774241,138.19982073068712,7
7,0.001516437530517578,0.002009533459376634,0.0005010128021240235,0.0010020256042480467,1,True,10.0,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 10.0}",-416.75072318742843,-630.068579262731,-385.9770809298476,-416.5690322303118,-211.0362154811539,-412.08032621829443,133.16227200791772,3
8,0.0019586563110351564,0.003917312622070312,0.0007154941558837891,0.0014309883117675781,1,True,20,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 20}",-446.72193074504895,-626.0858609021996,-378.5384113294368,-382.4436512531487,-224.44227033604287,-411.64642491317534,129.7758844011408,1
9,0.0010149002075195313,0.0020298004150390626,0.0010028839111328124,0.002005767822265625,1,True,25,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 25}",-464.95812443432334,-628.7913871454138,-384.8662753959458,-380.44869257198076,-233.14143829741795,-418.44118356901635,129.0873606212533,5
