Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Logan Webb,17995,SFG,7.67768,5.28673,8.27387,3.39018,18,18,0,0,108.18,441.03,103.587,44.07,40.75,7.84915,20.8107,0.323347,3.99549,89.975,7.48544,1.73134,4.3235,0.653007,0.204011,0.0471866,0.156824555,0.248874,1.14992,0.300686,0.708303,,,3.12194,2.56143,2.29913,50.25,,,
Chris Sale,10603,ATL,8.06282,4.07616,7.6288,3.49996,17,17,0,0,100.827,414.26,86.4461,42.39,39.21,11.5336,27.0931,0.277526,5.45955,123.848,11.0549,2.41838,4.57119,1.02951,0.298962,0.0654013,0.233560294,0.226472,1.12608,0.30412,0.730544,,,3.15323,2.47811,2.05435,107.1699982,,,
Zack Wheeler,10310,PHI,8.02619,5.07395,8.68351,3.53993,18,18,0,0,110.214,450.83,96.075,46.54,43.35,12.5706,28.218,0.301077,4.45087,112.569,9.19229,2.30426,3.98925,1.02651,0.249692,0.0625912,0.187101133,0.229756,1.12774,0.284977,0.728747,,,3.48347,2.46537,2.09855,23.39999962,,,
Tarik Skubal,22267,DET,5.81626,5.13783,5.72343,3.0905,16,16,0,0,87.248,349.63,71.0643,32.38,29.96,9.03193,20.5532,0.23813,2.91998,101.907,10.5121,2.12015,4.95819,0.931682,0.29147,0.0587855,0.232684419,0.217884,1.05008,0.28823,0.7501,,,2.97108,2.37501,2.24073,44.56000137,,,
George Kirby,25436,SEA,6.76836,5.67998,7.04504,3.45982,18,18,0,0,100.8,403.47,90.0562,41.71,38.75,11.9704,15.1508,0.287063,3.36862,94.6465,8.45058,1.35275,6.24695,1.06878,0.234581,0.0375513,0.197030038,0.233942,1.04372,0.280547,0.717898,,,3.37129,2.3736,2.05277,33.15999985,,,
Tyler Glasnow,14374,LAD,7.91458,3.23436,6.49625,3.28987,16,16,0,0,91.344,365.87,69.8833,35.83,33.39,11.1396,26.0175,0.211522,2.21709,121.556,11.9768,2.56347,4.67211,1.09757,0.33224,0.0711113,0.261128224,0.206979,1.04989,0.286639,0.74803,,,3.0054,2.3691,2.05657,37.97999954,,,
Max Fried,13743,ATL,8.32146,3.92782,7.75307,3.36039,17,17,0,0,101.881,417.6,92.6569,40.89,38.04,9.12291,26.247,0.312465,3.34069,94.6653,8.36257,2.31862,3.60671,0.805903,0.226689,0.062852,0.163836852,0.238799,1.16709,0.293902,0.735066,,,3.3312,2.26811,2.23409,59.08000183,,,
Joe Ryan,21390,MIN,6.27006,5.55882,6.91987,3.61998,17,17,0,0,96.39,388.68,79.0057,41.47,38.77,14.3075,22.2756,0.214876,3.72177,110.668,10.3331,2.07988,4.96813,1.3359,0.284728,0.0573108,0.227416895,0.217837,1.05074,0.272176,0.736132,,,3.59674,2.14419,1.83196,85.84999847,,,
Paul Skenes,33677,PIT,5.23771,4.51719,5.59812,3.36983,14,14,0,0,79.268,325.25,67.1402,31.93,29.68,7.42486,23.516,0.221888,3.25658,92.7474,10.5304,2.66998,3.94402,0.84301,0.285157,0.0723012,0.212856099,0.224942,1.14367,0.301128,0.731687,,,3.04505,2.11049,1.70086,294.7200012,,,
Pablo López,17085,MIN,6.35448,6.02825,7.03464,3.75022,18,18,0,0,100.026,412.19,90.2327,44.79,41.68,12.2378,25.1874,0.306556,4.42824,104.582,9.40989,2.26628,4.15213,1.10112,0.253722,0.0611063,0.192615319,0.235857,1.1539,0.293484,0.71861,,,3.54188,2.03752,1.65862,33.97000122,,,
Sonny Gray,12768,STL,6.36969,4.9719,5.74601,3.51036,17,17,0,0,89.76,369.74,76.3625,37.57,35.01,8.69883,27.9793,0.202287,3.79259,95.4322,9.56874,2.80542,3.41081,0.872209,0.258106,0.075673,0.18243327,0.225946,1.16245,0.289363,0.724494,,,3.34959,2.02672,1.76445,132.3800049,,,
Corbin Burnes,19361,BAL,6.9855,5.69081,7.78281,3.68996,18,18,0,0,104.562,431.52,92.7893,45.95,42.87,11.3652,30.4974,0.25904,4.14845,101.033,8.69626,2.62501,3.31284,0.978238,0.234133,0.0706743,0.16345875,0.2338,1.17908,0.286225,0.720245,,,3.62876,2.02499,1.87757,19.45000076,,,
