Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Paul Skenes,33677,PIT,5.2256,3.5267,8.4407,2.75148,12.41,12.41,0,0,75.0102,300.281,57.3027,25.2905,22.9321,6.58423,21.1485,,2.7413,97.3772,11.6837,2.53747,4.60445,0.79,0.324287,0.070429,0.253857873,0.207325,1.04587,0.29414,0.767849,,,2.66941,2.24908,2.35149,294.7200012,,,
Tarik Skubal,22267,DET,5.4151,4.1721,8.906,2.87749,13.68,13.68,0,0,81.4015,326.52,66.1117,28.6115,26.0258,7.8869,19.2794,,3.1855,96.6399,10.6848,2.13159,5.0126,0.872,0.295969,0.0590451,0.236924253,0.217433,1.04901,0.291812,0.763686,,,2.8823,2.18034,2.16699,44.56000137,,,
Zack Wheeler,10310,PHI,5.784,4.3697,9.074,3.33403,14.2222,14.2222,0,0,87.8829,359.292,76.9848,35.5109,32.556,9.54018,22.1633,,4.1965,90.454,9.2633,2.26972,4.08125,0.977,0.251756,0.061686,0.190070212,0.231233,1.12818,0.289539,0.741763,,,3.42175,2.03227,2.02006,23.39999962,,,
Tyler Glasnow,14374,LAD,5.6032,3.4138,8.2535,3.09049,12.78,12.78,0,0,77.4785,311.785,60.9601,29.0686,26.6052,8.16968,22.8953,,1.7332,99.1064,11.5123,2.65955,4.32868,0.949,0.317868,0.073433,0.244434781,0.212289,1.08231,0.293475,0.756537,,,2.93532,1.93619,1.88245,37.97999954,,,
Chris Sale,10603,ATL,5.4407,3.7594,7.9627,3.12393,13.32,13.32,0,0,77.12,311.848,62.9528,29.1231,26.7686,8.46606,19.1484,,3.8953,96.8668,11.3045,2.23464,5.05874,0.988,0.310622,0.061403,0.249218866,0.217977,1.06459,0.296977,0.75415,,,2.98063,1.84726,1.98259,107.1699982,,,
Pablo López,17085,MIN,5.4741,4.448,8.2537,3.42895,14.2222,14.2222,0,0,83.7519,344.658,74.0098,34.6883,31.909,9.44535,21.5011,,3.6341,91.6242,9.84596,2.31051,4.26137,1.015,0.265841,0.0623839,0.203457043,0.231626,1.1404,0.295553,0.739148,,,3.34768,1.75026,1.63062,33.97000122,,,
Garrett Crochet,27463,CHW,4.174,3.5437,6.4743,2.96514,14.821,10.5,0,0.2581,65.5268,263.717,49.0091,23.5639,21.5884,6.68373,22.0306,,2.7492,84.3803,11.5895,3.02587,3.83014,0.918,0.319965,0.0835388,0.236426547,0.205113,1.08413,0.286227,0.769681,,,3.05426,1.74887,1.74341,427.4299927,,,
Aaron Nola,16149,PHI,5.4562,4.6931,8.5055,3.6637,14.2222,14.2222,0,0,87.5585,361.364,81.9443,38.6521,35.6431,11.3729,19.634,,2.772,87.5079,8.9948,2.01815,4.45696,1.169,0.24216,0.054333,0.187826935,0.241754,1.16012,0.293953,0.734636,,,3.62662,1.72154,1.69046,52.81999969,,,
Logan Webb,17995,SFG,5.2918,4.8314,9.1755,3.34951,14.0247,14.0247,0,0,88.2082,366.77,87.3313,36.5658,32.8283,6.94885,19.2012,,3.2287,78.2302,7.98193,1.95912,4.07423,0.709,0.213295,0.0523522,0.160942841,0.253619,1.20774,0.310164,0.722766,,,3.18241,1.66254,1.60687,50.25,,,
Kevin Gausman,14107,TOR,5.344,4.5607,7.9466,3.58466,14.2222,14.2222,0,0,83.3614,345.325,75.1445,35.9568,33.2025,10.1794,21.7599,,2.1186,88.9988,9.60863,2.34928,4.09004,1.099,0.257725,0.0630128,0.194711953,0.23377,1.16246,0.292282,0.737389,,,3.48074,1.65888,1.44049,38.18999863,,,
Corbin Burnes,19361,BAL,5.7219,4.4419,8.7636,3.54534,14.2222,14.2222,0,0,88.0067,365.628,79.4691,37.8297,34.6682,10.0719,24.7238,,3.4753,93.0144,9.51211,2.52838,3.76214,1.03,0.254396,0.0676201,0.186776161,0.235514,1.18392,0.296136,0.736614,,,3.50445,1.61627,1.52071,19.45000076,,,
Joe Ryan,21390,MIN,5.1769,4.3661,7.6889,3.58649,13.68,13.68,0,0,80.478,328.214,69.0495,34.2413,32.0704,11.1775,18.1778,,3.3832,91.1105,10.1891,2.03286,5.01219,1.25,0.277595,0.055384,0.222210817,0.225171,1.08387,0.28318,0.740247,,,3.51427,1.59982,1.4778,85.84999847,,,
George Kirby,25436,SEA,5.1244,4.5817,8.1765,3.42013,13.8272,13.8272,0,0,82.2774,334.461,76.6662,34.009,31.2666,10.1384,12.0747,,3.1336,78.3224,8.56738,1.3208,6.48649,1.109,0.234175,0.036102,0.19807303,0.240143,1.07856,0.288259,0.734192,,,3.42176,1.59487,1.47781,33.15999985,,,
Sonny Gray,12768,STL,5.2982,4.337,7.9482,3.41824,13.87,13.87,0,0,80.9544,336.469,72.5583,33.685,30.7468,7.91554,24.5309,,3.2008,83.8588,9.32289,2.72719,3.4185,0.88,0.249232,0.0729069,0.176325023,0.235016,1.19931,0.297944,0.737194,,,3.39625,1.54815,1.63506,132.3800049,,,
Freddy Peralta,18679,MIL,5.0205,4.2226,7.3342,3.438,13.49,13.49,0,0,76.4807,315.775,61.1556,31.5176,29.2156,9.26266,26.634,,3.7852,93.4125,10.9925,3.1342,3.50727,1.09,0.29582,0.0843449,0.211474948,0.214314,1.14787,0.284064,0.75208,,,3.49409,1.52301,1.56439,50.47999954,,,
Framber Valdez,17295,HOU,5.6604,4.1891,8.7352,3.48792,13.68,13.68,0,0,86.0001,358.782,81.2899,36.9686,33.329,7.3769,28.3194,,4.4005,78.4377,8.20859,2.96365,2.76975,0.772,0.218622,0.0789321,0.139690109,0.249308,1.27453,0.307654,0.731663,,,3.60158,1.43848,1.59596,55.16999817,,,
Max Fried,13743,ATL,5.5228,4.4328,8.4869,3.48563,14.06,14.06,0,0,85.348,357.404,83.414,36.4616,33.0546,8.3641,23.0826,,3.2045,79.8705,8.42239,2.43407,3.4602,0.882,0.223474,0.0645841,0.158889942,0.251917,1.24779,0.308997,0.738868,,,3.49557,1.40921,1.74493,59.08000183,,,
Dylan Cease,18525,SDP,4.9498,3.9818,7.2927,3.41363,12.92,12.92,0,0,74.6862,310.546,60.1665,30.6446,28.3279,8.6387,27.433,,2.8558,90.3548,10.8881,3.30579,3.29365,1.041,0.290955,0.088338,0.202616684,0.214683,1.1729,0.28427,0.754316,,,3.46994,1.38327,1.42022,97.83000183,,,
Luis Castillo,15689,SEA,5.0103,4.7622,8.0993,3.58095,13.8272,13.8272,0,0,83.3076,346.826,74.5552,36.0178,33.1467,10.2376,24.4828,,2.94,84.7289,9.15355,2.64496,3.46075,1.106,0.244298,0.070591,0.173706993,0.23342,1.18882,0.286574,0.743993,,,3.72017,1.35976,1.31143,28.48999977,,,
Ranger Suárez,17277,PHI,5.0735,4.4152,7.4883,3.61272,13.68,13.68,0,0,79.4869,334.4,76.243,35.1053,31.9071,8.01051,25.1439,,2.7876,71.165,8.05774,2.84695,2.83031,0.907,0.212814,0.0751911,0.137622915,0.248779,1.27552,0.300196,0.735056,,,3.74291,1.32478,1.51933,335.3900146,,,
Max Scherzer,3137,TEX,4.6509,4.4541,6.8632,3.98302,12.96,12.96,0,0,77.1295,321.775,70.188,36.3589,34.1343,12.1008,19.832,,3.3793,82.4816,9.62452,2.31413,4.15902,1.412,0.256333,0.0616331,0.19470001,0.235086,1.16713,0.284767,0.73429,,,3.9728,1.3175,1.20446,309.3599854,,,
Jack Flaherty,17479,DET,4.4937,4.4457,7.0465,3.52321,12.96,12.96,0,0,74.2253,311.871,65.7844,31.6669,29.0568,8.17303,23.3651,,3.9265,80.8663,9.80524,2.83308,3.46099,0.991,0.259294,0.0749191,0.184374943,0.231164,1.20107,0.294627,0.739733,,,3.52477,1.31749,1.35324,336.8200073,,,
Logan Gilbert,22250,SEA,5.0023,4.7794,8.0722,3.61465,13.8272,13.8272,0,0,83.4565,342.878,76.4336,36.2176,33.5184,10.8957,19.0294,,2.5627,82.2002,8.86452,2.05214,4.31964,1.175,0.239736,0.055499,0.184236977,0.237899,1.14387,0.287208,0.738638,,,3.67271,1.31652,1.31774,61.15999985,,,
Cole Ragans,21846,KCR,4.718,4.1298,7.2161,3.59979,12.6,12.6,0,0,75.0636,315.128,65.4044,32.5924,30.0237,8.04015,29.1651,,2.4905,82.0235,9.83448,3.49685,2.81239,0.964,0.260286,0.09255,0.167736284,0.230726,1.25986,0.296596,0.743904,,,3.64137,1.31589,1.51883,79.61000061,,,
Zac Gallen,19291,ARI,5.0509,4.5405,7.4564,3.81875,13.68,13.68,0,0,81.1971,341.739,77.8437,37.3404,34.4524,9.0219,23.1849,,3.1621,81.4042,9.02295,2.56985,3.51109,1,0.238206,0.0678439,0.170361869,0.246816,1.24424,0.305921,0.720472,,,3.582,1.28924,1.39481,40.02000046,,,
