YEAR,R,HR,RBI,SB,OBP,SLG,K,QS,SV,ERA,WHIP,K/BB,L,wins,ties,Pts
2019,1155,378,1121,122,0.3332,0.4816,1547,112,70,3.882,1.239,,85,128,15,271
2019,1144,365,1073,118,0.3415,0.4855,1521,124,16,3.894,1.226,,71,144,9,297
2019,1125,366,1140,134,0.3417,0.4924,1171,82,79,3.869,1.181,,67,133,9,275
2019,1144,346,1104,129,0.3505,0.5088,1659,120,64,4.194,1.259,,99,155,11,321
2019,1010,323,1025,114,0.332,0.455,1507,114,73,4.208,1.297,,93,119,19,257
2019,1138,297,1010,101,0.3432,0.4527,1530,106,90,4.263,1.252,,88,117,18,252
2019,1085,354,1059,83,0.3409,0.4781,1343,87,93,3.92,1.229,,66,117,16,250
2019,999,333,1006,74,0.3498,0.4845,1511,94,40,4.251,1.248,,75,90,11,191
2019,1054,304,1027,118,0.342,0.4718,1386,89,58,4.5,1.296,,87,97,18,212
2019,1075,283,900,104,0.3396,0.4537,1564,106,47,3.935,1.236,,73,107,14,228
2019,1097,322,954,122,0.3369,0.4645,1414,88,77,4.289,1.309,,73,110,20,240
2019,1042,333,1031,107,0.3348,0.4674,1478,115,67,3.765,1.172,,73,109,12,230
2021,1068,313,985,124,0.3399,0.4505,1665,110,95,3.919,1.188,2.979,,139,11,289
2021,1041,277,917,132,0.3392,0.4319,1654,117,48,3.949,1.207,3.109,,122,13,257
2021,966,275,928,130,0.3392,0.4437,1649,97,92,3.427,1.133,3.808,,144,8,296
2021,997,265,972,89,0.3346,0.4471,1486,118,56,3.612,1.164,3.547,,145,7,297
2021,1068,313,1017,80,0.3389,0.4715,1486,94,58,3.531,1.134,3.753,,139,12,290
2021,1102,315,1082,165,0.347,0.467,1566,116,77,4.013,1.215,3.189,,142,11,295
2021,1002,292,972,117,0.3357,0.4464,1239,59,119,3.436,1.124,3.997,,103,14,220
2021,982,293,969,61,0.3351,0.4581,1443,101,22,3.619,1.191,3.364,,116,8,240
2021,871,261,786,48,0.3479,0.4691,1100,86,23,3.682,1.145,3.691,,106,11,223
2021,1043,305,1009,115,0.3281,0.4487,1547,98,0,4.53,1.273,3.264,,95,12,202
2021,838,281,850,73,0.314,0.4379,977,40,89,3.846,1.198,2.988,,91,11,193
2021,978,317,1013,93,0.3284,0.4585,1435,104,12,4.127,1.221,2.83,,105,12,222
2022,1004,300,990,130,0.3168,0.4303,1511,114,90,3.744,1.199,3.115,,129,17,275
2022,946,294,998,134,0.3103,0.4162,1828,128,96,3.005,1.074,3.785,,149,14,312
2022,1022,277,941,76,0.3347,0.4267,1794,131,143,3.368,1.131,3.483,,129,10,268
2022,1020,279,1038,115,0.3344,0.4487,1657,111,76,3.24,1.158,3.8,,147,14,308
2022,940,280,915,103,0.3167,0.4234,1539,120,30,4.119,1.236,3.324,,119,12,250
2022,945,247,946,117,0.3207,0.4169,1441,99,118,3.405,1.157,3.268,,129,9,267
2022,990,272,907,120,0.3317,0.4363,1503,113,108,3.267,1.15,3.164,,118,11,247
2022,915,234,804,131,0.3206,0.4204,1230,60,119,3.962,1.213,3.195,,100,9,209
2022,959,251,844,62,0.337,0.4342,1174,102,34,3.362,1.131,3.799,,111,8,230
2022,970,262,1006,137,0.3322,0.4311,1198,93,37,3.987,1.247,2.793,,102,13,217
2022,894,229,878,75,0.3142,0.4061,1220,96,60,4.244,1.24,3.271,,97,10,204
2022,946,212,855,121,0.3418,0.4138,1106,75,106,4.073,1.225,3.224,,113,11,237
